nombre_modelo,dim_latente,arquitectura,epocas_max,learning_rate,convergio,epocas_reales,mse,precision,parametros
tp3_DeepBalancedAE_lat5_ep8000_lr0_00075,5,DeepBalancedAE,8000,0.00075,False,678,0.11850412766416515,83.39285714285715,4116
tp3_WideTanhAE_lat5_ep8000_lr0_001,5,WideTanhAE,8000,0.001,False,616,0.12028248861944053,83.66071428571429,3352
tp3_BalancedAE_L9_lat5_ep8000_lr0_0005,5,BalancedAE_L9,8000,0.0005,False,863,0.12196718903147204,82.67857142857142,2998
tp3_BalancedAE_lat5_ep10000_lr0_0005,5,BalancedAE,10000,0.0005,False,747,0.1254464260406943,83.30357142857143,2956
tp3_DeepBalancedAE_lat5_ep2000_lr0_0005,5,DeepBalancedAE,2000,0.0005,False,525,0.12568841639920228,81.69642857142857,4116
tp3_DeepBalancedAE_lat5_ep6000_lr0_0005,5,DeepBalancedAE,6000,0.0005,False,482,0.12595525637630794,82.94642857142858,4116
tp3_DeepBalancedAE_lat5_ep10000_lr0_00075,5,DeepBalancedAE,10000,0.00075,False,593,0.12621465168676302,82.67857142857142,4116
tp3_WideReLU_L10_lat5_ep10000_lr0_0005,5,WideReLU_L10,10000,0.0005,False,688,0.12762650303932835,80.89285714285714,3040
tp3_WideTanhAE_lat5_ep10000_lr0_001,5,WideTanhAE,10000,0.001,False,589,0.12859200092385875,82.05357142857143,3352
tp3_DeepBalancedAE_lat5_ep4000_lr0_0001,5,DeepBalancedAE,4000,0.0001,False,1530,0.12874266159931408,82.58928571428571,4116
tp3_BalancedAE_lat5_ep10000_lr0_00075,5,BalancedAE,10000,0.00075,False,705,0.12892280933740516,82.41071428571428,2956
tp3_DeepBalancedAE_lat5_ep8000_lr0_0005,5,DeepBalancedAE,8000,0.0005,False,646,0.13009897136053372,81.60714285714286,4116
tp3_BalancedAE_lat5_ep2000_lr0_001,5,BalancedAE,2000,0.001,False,420,0.13021795900514008,81.25,2956
tp3_DeepBalancedAE_lat5_ep4000_lr0_0005,5,DeepBalancedAE,4000,0.0005,False,667,0.1315720816839527,81.96428571428571,4116
tp3_DeepBalancedAE_lat5_ep10000_lr0_0005,5,DeepBalancedAE,10000,0.0005,False,716,0.13232784917940477,82.32142857142857,4116
tp3_BalancedAE_lat5_ep2000_lr0_0005,5,BalancedAE,2000,0.0005,False,503,0.13315892860676798,81.96428571428571,2956
tp3_BalancedAE_lat5_ep2000_lr0_0001,5,BalancedAE,2000,0.0001,False,1635,0.13342275259936073,82.85714285714286,2956
